t_wall,x,y,z
0.0000,0.00000,0.00000,0.00000
0.0017,0.00000,0.00000,0.00001
0.0052,0.00000,0.00000,0.00000
0.0063,0.00000,0.00000,0.00000
0.0072,0.00000,0.00000,0.00001
0.0082,0.00000,0.00000,0.00000
0.0088,0.00000,0.00000,0.00001
0.0096,0.00000,0.00000,0.00001
0.0102,0.00000,0.00000,0.00001
0.0110,0.00000,0.00000,0.00000
0.0117,0.00000,0.00000,0.00001
0.0124,0.00000,0.00000,0.00000
0.0132,0.00000,0.00000,0.00001
0.0140,0.00000,0.00000,0.00001
0.0146,0.00000,0.00000,0.00001
0.0156,0.00000,0.00000,0.00000
0.0163,0.00000,0.00000,0.00001
0.0170,0.00000,0.00000,0.00000
0.0178,0.00000,0.00000,0.00000
0.0183,0.00000,0.00000,0.00001
0.0193,0.00000,0.00000,0.00000
0.0198,0.00000,0.00000,0.00001
0.0206,0.00000,0.00000,0.00000
0.0212,0.00000,0.00000,0.00001
0.0218,0.00000,0.00000,0.00001
0.0224,0.00000,0.00000,0.00000
0.0232,0.00000,0.00000,0.00000
0.0390,0.00000,0.00000,0.00001
0.0396,0.00000,0.00000,0.00001
0.0402,0.00000,0.00000,0.00000
0.0623,0.00000,0.00000,0.00001
0.0631,0.00000,0.00000,0.00000
0.0755,0.00000,0.00000,0.00001
0.0762,0.00000,0.00000,0.00001
0.0861,0.00000,0.00000,0.00000
0.0961,0.00000,0.00000,0.00001
0.1068,0.00000,0.00000,0.00001
0.1152,0.00000,0.00000,0.00000
0.1236,0.00000,0.00000,0.00001
0.1338,0.00000,0.00000,0.00000
0.1433,0.00000,0.00129,0.00000
0.1541,0.00000,0.00539,0.00000
0.1614,0.00000,0.01227,0.00000
0.1695,0.00000,0.02187,0.00000
0.1858,0.00000,0.03412,0.00000
0.1929,0.00000,0.04896,0.00000
0.2006,0.00000,0.06633,0.00000
0.2164,0.00000,0.08614,0.00000
0.2246,0.00000,0.10831,0.00000
0.2342,0.00000,0.13276,0.00000
0.2430,0.00000,0.15940,0.00000
0.2500,0.00000,0.18816,0.00000
0.2647,0.00000,0.21891,0.00000
0.2719,0.00000,0.25159,0.00000
0.2794,0.00000,0.28608,0.00000
0.2932,0.00000,0.32228,0.00000
0.3008,0.00000,0.36010,0.00000
0.3153,0.00000,0.39943,0.00000
0.3225,0.00000,0.44020,0.00000
0.3302,0.00000,0.48240,0.00000
0.3442,0.00000,0.52599,0.00000
0.3512,0.00000,0.57098,0.00000
0.3651,0.00000,0.61733,0.00000
0.3741,0.00000,0.66504,0.00000
0.3812,0.00000,0.71407,0.00000
0.3958,0.00000,0.76442,0.00000
0.4037,0.00000,0.81607,0.00000
0.4107,0.00000,0.86900,0.00000
0.4248,0.00000,0.92318,0.00000
0.4320,0.00000,0.97861,0.00000
0.4458,0.00000,1.03527,0.00000
0.4528,0.00000,1.09314,0.00000
0.4597,0.00000,1.15220,0.00000
0.4736,0.00000,1.21244,0.00000
0.4807,0.00000,1.27384,0.00000
0.4945,0.00000,1.33638,0.00000
0.5014,0.00000,1.40004,0.00000
0.5311,0.00000,1.46481,0.00000
0.5317,0.00000,1.53068,0.00000
0.5321,0.00000,1.59763,0.00000
0.5450,0.00000,1.66563,0.00000
0.5516,-0.00003,1.73469,0.00001
0.5654,-0.00018,1.80477,0.00013
0.5724,-0.00040,1.87588,0.00030
0.5799,-0.00064,1.94799,0.00047
0.5992,-0.00089,2.02110,0.00062
0.5999,-0.00104,2.09519,0.00074
0.6109,-0.00107,2.17024,0.00077
0.6207,-0.00101,2.24626,0.00073
0.6308,-0.00076,2.32322,0.00057
0.6416,-0.00027,2.40110,0.00025
0.6529,0.00046,2.47989,-0.00027
0.6631,0.00159,2.55957,-0.00107
0.6735,0.00317,2.64008,-0.00221
0.6863,0.00574,2.72123,-0.00406
0.6976,0.00891,2.80310,-0.00638
0.7097,0.01266,2.88572,-0.00909
0.7104,0.01694,2.96907,-0.01219
0.7230,0.02173,3.05316,-0.01566
0.7363,0.02701,3.13797,-0.01951
0.7479,0.03281,3.22348,-0.02372
0.7596,0.03909,3.30969,-0.02830
0.7602,0.04587,3.39658,-0.03323
0.7717,0.05316,3.48415,-0.03853
0.7829,0.06094,3.57237,-0.04418
0.7943,0.06921,3.66124,-0.05018
0.8058,0.07794,3.75074,-0.05655
0.8188,0.08716,3.84087,-0.06325
0.8325,0.09686,3.93160,-0.07031
0.8332,0.10693,4.02298,-0.07766
0.8454,0.11746,4.11494,-0.08535
0.8568,0.12845,4.20750,-0.09337
0.8676,0.13986,4.30064,-0.10173
0.8776,0.15176,4.39433,-0.11044
0.8875,0.16449,4.48982,-0.11975
0.8991,0.17810,4.58710,-0.12968
0.9110,0.19272,4.68627,-0.14029
0.9116,0.20850,4.78771,-0.15169
0.9241,0.22559,4.89130,-0.16391
0.9362,0.24411,4.99726,-0.17706
0.9489,0.26440,5.10617,-0.19133
0.9620,0.28760,5.21980,-0.20736
0.9625,0.31403,5.33829,-0.22532
0.9746,0.34396,5.46131,-0.24529
0.9872,0.37775,5.58884,-0.26742
0.9995,0.41580,5.72094,-0.29194
1.0002,0.45856,5.85739,-0.31892
1.0122,0.50616,5.99776,-0.34841
1.0244,0.55899,6.14183,-0.38048
1.0373,0.61722,6.28915,-0.41515
1.0501,0.68103,6.43929,-0.45240
1.0507,0.75067,6.59182,-0.49222
1.0626,0.82626,6.74636,-0.53455
1.0756,0.90802,6.90232,-0.57938
1.0887,0.99600,7.05936,-0.62660
1.1020,1.09055,7.21666,-0.67592
1.1027,1.19128,7.37450,-0.72735
1.1153,1.29800,7.53292,-0.78087
1.1282,1.41058,7.69187,-0.83642
1.1434,1.52887,7.85130,-0.89397
1.1440,1.65268,8.01108,-0.95344
1.1572,1.78186,8.17116,-1.01477
1.1711,1.91629,8.33147,-1.07792
1.1718,2.05582,8.49196,-1.14284
1.1847,2.20035,8.65258,-1.20949
1.1983,2.34973,8.81327,-1.27781
1.2118,2.50385,8.97400,-1.34776
1.2124,2.66263,9.13471,-1.41931
1.2252,2.82593,9.29536,-1.49241
1.2386,2.99368,9.45592,-1.56704
1.2518,3.16580,9.61634,-1.64317
1.2523,3.34222,9.77663,-1.72078
1.2650,3.52286,9.93671,-1.79982
1.2783,3.70764,10.09658,-1.88027
1.2915,3.89645,10.25619,-1.96210
1.2922,4.08923,10.41551,-2.04528
