t_wall,x,y,z
0.0000,0.00000,0.00000,0.00000
0.0015,0.00000,0.00000,0.00000
0.0042,0.00003,0.00000,0.00003
0.0064,0.00000,0.00000,0.00000
0.0072,0.00000,0.00000,0.00000
0.0105,0.00003,0.00000,0.00003
0.0119,0.00003,0.00000,0.00003
0.0127,0.00000,0.00000,0.00000
0.0136,0.00000,0.00000,0.00000
0.0142,0.00003,0.00000,0.00003
0.0148,0.00000,0.00000,0.00000
0.0156,0.00000,0.00000,0.00000
0.0162,0.00003,0.00000,0.00003
0.0167,0.00003,0.00000,0.00003
0.0173,0.00000,0.00000,0.00000
0.0178,0.00000,0.00000,0.00000
0.0184,0.00003,0.00000,0.00003
0.0190,0.00000,0.00000,0.00000
0.0195,0.00000,0.00000,0.00000
0.0201,0.00003,0.00000,0.00003
0.0207,0.00003,0.00000,0.00003
0.0215,0.00000,0.00000,0.00000
0.0222,0.00000,0.00000,0.00000
0.0233,0.00003,0.00000,0.00003
0.0239,0.00000,0.00000,0.00000
0.0246,0.00000,0.00000,0.00000
0.0252,0.00003,0.00000,0.00003
0.0261,0.00003,0.00000,0.00003
0.0282,0.00000,0.00000,0.00000
0.0290,0.00000,0.00000,0.00000
0.0297,0.00003,0.00000,0.00003
0.0304,0.00000,0.00000,0.00000
0.0310,0.00000,0.00000,0.00000
0.0417,0.00003,0.00000,0.00003
0.0425,0.00003,0.00000,0.00003
0.0434,0.00000,0.00000,0.00000
0.0440,0.00000,0.00000,0.00000
0.0532,0.00003,0.00000,0.00003
0.0642,0.00000,0.00000,0.00000
0.0753,0.00003,0.00000,0.00003
0.0853,0.00003,0.00000,0.00003
0.0962,0.00000,0.00000,0.00003
0.0970,0.00003,0.00000,0.00003
0.1071,0.00003,0.00000,0.00003
0.1182,0.00000,0.00000,0.00003
0.1287,0.00003,0.00000,0.00003
0.1392,0.00003,0.00000,0.00003
0.1487,0.00000,0.00000,0.00003
0.1597,0.00003,0.00000,0.00003
0.1689,0.00003,0.00000,0.00003
0.1776,0.00003,0.00000,0.00003
0.1887,0.00000,0.00000,0.00000
0.1996,0.00000,0.00000,0.00000
0.2092,0.00003,0.00000,0.00003
0.2167,0.00000,0.00000,0.00000
0.2323,0.00000,0.00000,0.00000
0.2401,0.00003,0.00001,0.00003
0.2478,0.00003,0.00000,0.00003
0.2592,0.00000,0.00000,0.00000
0.2699,0.00000,0.00000,0.00000
0.2794,0.00003,0.00000,0.00003
0.2875,0.00000,0.00000,0.00000
0.2970,0.00003,0.00000,0.00003
0.3061,0.00003,0.00000,0.00003
0.3227,0.00000,0.00000,0.00003
0.3323,0.00003,0.00000,0.00003
0.3425,0.00003,0.00000,0.00003
0.3510,0.00000,0.00000,0.00003
0.3597,0.00003,0.00000,0.00003
0.3701,0.00003,0.00000,0.00003
0.3804,0.00000,0.00000,0.00003
0.3882,0.00003,0.00000,0.00003
0.3965,0.00003,0.00000,0.00003
0.4112,0.00003,0.00000,0.00003
0.4184,0.00000,0.00000,0.00000
0.4323,0.00000,0.00000,0.00000
0.4392,0.00003,0.00000,0.00003
0.4461,0.00003,0.00000,0.00003
0.4600,0.00000,0.00000,0.00000
0.4670,0.00000,0.00000,0.00000
0.4809,0.00003,0.00000,0.00003
0.4878,0.00000,0.00000,0.00000
0.5017,0.00000,0.00000,0.00000
0.5087,0.00003,0.00001,0.00003
0.5157,0.00003,0.00000,0.00003
0.5298,0.00000,0.00000,0.00000
0.5376,0.00000,0.00000,0.00000
0.5521,0.00003,0.00000,0.00003
0.5590,0.00000,0.00000,0.00000
0.5661,0.00000,0.00000,0.00000
0.5799,0.00003,0.00001,0.00003
0.5868,0.00003,0.00000,0.00003
0.6007,0.00000,0.00000,0.00000
0.6077,0.00000,0.00000,0.00000
0.6216,0.00003,0.00000,0.00003
0.6285,0.00000,0.00000,0.00000
0.6427,0.00000,0.00000,0.00000
0.6496,0.00003,0.00000,0.00003
0.6566,0.00003,0.00000,0.00003
0.6704,0.00000,0.00000,0.00000
0.6774,0.00000,0.00000,0.00000
0.6913,0.00003,0.00000,0.00003
0.6984,0.00000,0.00000,0.00000
0.7130,0.00000,0.00000,0.00000
0.7204,0.00003,0.00000,0.00003
0.7278,0.00003,0.00000,0.00003
0.7424,0.00000,0.00000,0.00000
0.7499,0.00000,0.00000,0.00000
0.7581,0.00003,0.00000,0.00003
0.7722,0.00000,0.00000,0.00000
0.7792,0.00000,0.00000,0.00000
0.7861,0.00003,0.00001,0.00003
0.8000,0.00003,0.00000,0.00003
0.8069,0.00000,0.00000,0.00000
0.8208,0.00000,0.00000,0.00000
0.8278,0.00003,0.00000,0.00003
0.8416,0.00000,0.00000,0.00000
0.8486,0.00000,0.00000,0.00000
0.8627,0.00003,0.00000,0.00003
0.8697,0.00003,0.00000,0.00003
0.8766,0.00000,0.00000,0.00000
0.8905,0.00000,0.00000,0.00000
0.8974,0.00003,0.00000,0.00003
0.9113,0.00000,0.00000,0.00000
0.9183,0.00000,0.00000,0.00000
0.9326,0.00003,0.00000,0.00003
0.9395,0.00003,0.00000,0.00003
0.9465,0.00000,0.00000,0.00000
0.9604,0.00000,0.00000,0.00000
0.9674,0.00003,0.00000,0.00003
0.9813,0.00000,0.00000,0.00000
0.9883,0.00000,0.00000,0.00000
1.0021,0.00003,0.00000,0.00003
1.0092,0.00003,0.00000,0.00003
1.0168,0.00000,0.00000,0.00000
1.0320,0.00000,0.00000,0.00000
1.0466,0.00003,0.00000,0.00003
1.0789,0.00000,0.00000,0.00000
1.0880,0.00000,0.00000,0.00000
1.0885,0.00003,0.00000,0.00003
1.0893,0.00003,0.00000,0.00003
1.0897,0.00000,0.00000,0.00000
1.0971,0.00000,0.00000,0.00000
1.1064,0.00003,0.00000,0.00003
1.1203,0.00000,0.00000,0.00000
1.1341,0.00000,0.00000,0.00000
1.1452,0.00003,0.00000,0.00003
1.1521,0.00003,0.00000,0.00003
1.1590,0.00000,0.00000,0.00000
1.1660,0.00000,0.00000,0.00000
1.1799,0.00003,0.00000,0.00003
1.1868,0.00000,0.00000,0.00000
1.2007,0.00000,0.00000,0.00000
1.2077,0.00003,0.00001,0.00003
1.2218,0.00003,0.00000,0.00003
1.2288,0.00000,0.00000,0.00000
1.2357,0.00000,0.00000,0.00000
1.2497,0.00003,0.00000,0.00003
1.2568,0.00000,0.00000,0.00000
1.2709,0.00000,0.00000,0.00000
1.2778,0.00003,0.00001,0.00003
1.2917,0.00003,0.00000,0.00003
1.2986,0.00000,0.00000,0.00000
1.3125,0.00000,0.00000,0.00000
1.3195,0.00003,0.00000,0.00003
1.3264,0.00000,0.00000,0.00000
1.3699,0.00000,0.00000,0.00000
1.3712,0.00003,0.00001,0.00003
1.3721,0.00003,0.00000,0.00003
1.3904,0.00000,0.00000,0.00000
1.3939,0.00000,0.00000,0.00000
1.3957,0.00003,0.00000,0.00003
1.4108,0.00000,0.00000,0.00000
1.4142,0.00003,0.00000,0.00003
1.4570,0.00003,0.00000,0.00003
1.4975,0.00000,0.00000,0.00003
1.4985,0.00003,0.00000,0.00003
1.4993,0.00003,0.00000,0.00003
1.5000,0.00000,0.00000,0.00003
1.5113,0.00003,0.00000,0.00003
