t_wall,x,y,z
0.0000,0.00000,0.00000,0.00000
0.0029,-0.02979,-0.00981,-0.12088
0.0061,-0.05970,-0.01828,-0.24219
0.0091,-0.08972,-0.02544,-0.36392
0.0117,-0.11988,-0.03128,-0.48608
0.0144,-0.15015,-0.03583,-0.60867
0.0182,-0.18054,-0.03909,-0.73166
0.0211,-0.21106,-0.04109,-0.85507
0.0240,-0.24170,-0.04184,-0.97888
0.0268,-0.27246,-0.04135,-1.10309
0.0295,-0.30335,-0.03964,-1.22769
0.0324,-0.33435,-0.03671,-1.35266
0.0352,-0.36548,-0.03259,-1.47802
0.0380,-0.39667,-0.02728,-1.60376
0.0408,-0.42798,-0.02080,-1.72986
0.0431,-0.45941,-0.01315,-1.85632
0.0448,-0.49097,-0.00436,-1.98315
0.0470,-0.52259,0.00556,-2.11035
0.0488,-0.55432,0.01660,-2.23788
0.0511,-0.58618,0.02876,-2.36578
0.0537,-0.61811,0.04202,-2.49402
0.0556,-0.65015,0.05637,-2.62259
0.0579,-0.68231,0.07178,-2.75149
0.0601,-0.71454,0.08826,-2.88070
0.0630,-0.74689,0.10579,-3.01025
0.0650,-0.77930,0.12435,-3.14010
0.0667,-0.81183,0.14394,-3.27026
0.0685,-0.84442,0.16454,-3.40072
0.0705,-0.87714,0.18614,-3.53149
0.0726,-0.90991,0.20874,-3.66256
0.0742,-0.94281,0.23232,-3.79391
0.0762,-0.97577,0.25687,-3.92557
0.0782,-1.00879,0.28238,-4.05749
0.0954,-1.04193,0.30884,-4.18969
0.0982,-1.07514,0.33624,-4.32217
0.1008,-1.10840,0.36456,-4.45492
0.1027,-1.14179,0.39382,-4.58795
0.1055,-1.17523,0.42397,-4.72125
0.1081,-1.20874,0.45502,-4.85483
0.1109,-1.24237,0.48695,-4.98864
0.1135,-1.27606,0.51978,-5.12271
0.1156,-1.30982,0.55345,-5.25705
0.1177,-1.34363,0.58800,-5.39163
0.1345,-1.37757,0.62338,-5.52646
0.1365,-1.41156,0.65961,-5.66153
0.1382,-1.44562,0.69667,-5.79681
0.1409,-1.47974,0.73456,-5.93234
0.1535,-1.51392,0.77326,-6.06811
0.1670,-1.54822,0.81275,-6.20410
0.1693,-1.58258,0.85303,-6.34033
0.1811,-1.61701,0.89411,-6.47677
0.1938,-1.65180,0.93929,-6.61453
0.1957,-1.68708,0.99065,-6.75421
0.2093,-1.72290,1.04808,-6.89578
