t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0000,21.04039,0.00000,0.00000,0.00000,0.65631,-0.44743,0.58441,0.16591,274.56677,-69.02325,25.80623,0.99148,0.13029,0.74683,-0.31448
0.0080,21.05039,-0.11084,-0.03742,0.22222,0.66144,-0.42903,0.59539,0.15471,273.57446,-68.82585,25.80628,0.99148,0.13029,0.74683,-0.31448
0.0372,21.06039,-0.22956,-0.08268,0.43902,0.66617,-0.41037,0.60600,0.14344,273.28348,-69.01639,25.80630,0.96389,-0.26631,0.43011,-0.01406
0.0420,21.07039,-0.35294,-0.13480,0.65139,0.67187,-0.40215,0.60732,0.13430,142.43993,-23.94854,-58.91860,0.96389,-0.26631,0.43011,-0.01406
0.0570,21.08039,-0.48310,-0.19515,0.85858,0.67662,-0.39617,0.60775,0.12600,114.84135,-9.50347,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.0592,21.09039,-0.61972,-0.26359,1.06054,0.68107,-0.39073,0.60795,0.11777,108.96696,-4.79397,-58.91857,0.96389,-0.26631,0.43011,-0.01406
0.0627,21.10039,-0.76249,-0.34007,1.25732,0.68537,-0.38541,0.60805,0.10951,107.80132,-3.02644,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.0653,21.11039,-0.91108,-0.42453,1.44894,0.68957,-0.38009,0.60809,0.10123,107.56395,-2.62471,-58.91852,0.96389,-0.26631,0.43011,-0.01406
0.0729,21.12039,-1.06522,-0.51689,1.63549,0.69369,-0.37474,0.60805,0.09294,107.42997,-2.47063,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.0765,21.13039,-1.22458,-0.61712,1.81701,0.69773,-0.36934,0.60794,0.08462,107.53654,-2.44530,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.0795,21.14039,-1.38892,-0.72515,1.99356,0.70169,-0.36390,0.60777,0.07631,107.42924,-2.51339,-58.91860,0.96389,-0.26631,0.43011,-0.01406
0.0821,21.15039,-1.55790,-0.84094,2.16522,0.70557,-0.35842,0.60752,0.06800,107.40804,-2.63636,-58.91857,0.96389,-0.26631,0.43011,-0.01406
0.0848,21.16039,-1.73123,-0.96438,2.33190,0.70937,-0.35290,0.60720,0.05967,107.43387,-2.40968,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.0884,21.17039,-1.90860,-1.09542,2.49374,0.71309,-0.34734,0.60681,0.05133,107.44273,-2.47840,-58.91861,0.96389,-0.26631,0.43011,-0.01406
0.0907,21.18039,-2.08982,-1.23397,2.65072,0.71672,-0.34175,0.60636,0.04297,107.51790,-2.29176,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.0934,21.19039,-2.27457,-1.37999,2.80294,0.72027,-0.33611,0.60584,0.03462,107.47839,-2.45589,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.0952,21.20039,-2.46259,-1.53337,2.95037,0.72374,-0.33044,0.60525,0.02625,107.51781,-2.28005,-58.91853,0.96389,-0.26631,0.43011,-0.01406
0.0968,21.21039,-2.65366,-1.69405,3.09313,0.72713,-0.32473,0.60458,0.01790,107.44851,-2.50735,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.0990,21.22039,-2.84754,-1.86193,3.23123,0.73043,-0.31898,0.60385,0.00954,107.41561,-2.42429,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.1007,21.23039,-3.04398,-2.03698,3.36465,0.73365,-0.31319,0.60305,0.00116,107.59158,-2.35901,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.1027,21.24039,-3.24280,-2.21908,3.49353,0.73679,-0.30736,0.60218,-0.00719,107.37411,-2.53300,-58.91858,0.96389,-0.26631,0.43011,-0.01406
0.1046,21.25039,-3.44373,-2.40817,3.61782,0.73984,-0.30150,0.60124,-0.01555,107.47392,-2.47501,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.1065,21.26039,-3.64655,-2.60415,3.73761,0.74281,-0.29561,0.60024,-0.02391,107.48392,-2.43712,-58.91853,0.96389,-0.26631,0.43011,-0.01406
0.1084,21.27039,-3.85108,-2.80693,3.85290,0.74569,-0.28969,0.59916,-0.03227,107.49379,-2.34050,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.1102,21.28039,-4.05707,-3.01644,3.96374,0.74848,-0.28373,0.59802,-0.04063,107.46320,-2.33498,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.1120,21.29039,-4.26435,-3.23256,4.07012,0.75119,-0.27776,0.59680,-0.04899,107.40733,-2.23081,-58.91857,0.96389,-0.26631,0.43011,-0.01406
0.1137,21.30039,-4.47266,-3.45520,4.17211,0.75381,-0.27174,0.59552,-0.05734,107.53582,-2.30386,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.1155,21.31039,-4.68186,-3.68428,4.26971,0.75634,-0.26569,0.59417,-0.06568,107.45824,-2.29833,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.1172,21.32039,-4.89176,-3.91970,4.36297,0.75879,-0.25961,0.59275,-0.07402,107.49049,-2.30064,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.1190,21.33039,-5.10212,-4.16137,4.45190,0.76115,-0.25350,0.59127,-0.08235,107.55634,-2.33956,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.1209,21.34039,-5.31281,-4.40918,4.53652,0.76343,-0.24736,0.58971,-0.09066,107.39741,-2.35150,-58.91855,0.96389,-0.26631,0.43011,-0.01406
0.1231,21.35039,-5.52362,-4.66303,4.61688,0.76562,-0.24120,0.58809,-0.09897,107.47900,-2.31963,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.1250,21.36039,-5.73441,-4.92284,4.69299,0.76772,-0.23501,0.58641,-0.10727,107.45164,-2.31180,-58.91854,0.96389,-0.26631,0.43011,-0.01406
0.1263,21.37039,-5.94498,-5.18850,4.76486,0.76973,-0.22879,0.58465,-0.11554,107.43163,-2.37831,-58.91857,0.96389,-0.26631,0.43011,-0.01406
0.1277,21.38039,-6.15515,-5.45992,4.83251,0.77166,-0.22253,0.58283,-0.12381,107.47356,-2.38945,-58.91856,0.96389,-0.26631,0.43011,-0.01406
0.1507,21.39039,-6.36481,-5.73700,4.89599,0.77350,-0.21626,0.58094,-0.13206,107.43654,-2.39648,-58.91856,0.96389,-0.26631,0.42998,0.00701
0.1522,21.40039,-6.57376,-6.01963,4.95535,0.77520,-0.21013,0.57896,-0.14041,107.37615,0.00978,-58.91854,0.96389,-0.26631,0.42998,0.00701
0.1540,21.41039,-6.78189,-6.30774,5.01052,0.77680,-0.20402,0.57690,-0.14880,107.44049,0.87716,-58.91854,0.96389,-0.26631,0.42998,0.00701
