t_wall,x,y,z
0.0011,0.00000,0.00000,0.00000
0.0119,0.00000,0.00000,0.00000
0.0229,0.00000,0.00000,0.00000
0.0334,0.00000,0.00000,0.00000
0.0441,0.00000,0.00000,0.00000
0.0448,0.00000,0.00000,0.00000
0.0554,0.00000,0.00000,0.00000
0.0649,0.00000,0.00000,0.00000
0.0745,0.00000,0.00000,0.00000
0.0845,0.00000,0.00000,0.00000
0.0943,0.00000,0.00000,0.00000
0.1054,0.00000,0.00000,0.00000
0.1156,0.00000,0.00000,0.00000
0.1252,0.00000,0.00000,0.00000
0.1343,0.00000,0.00000,0.00000
0.1436,0.00000,0.00000,0.00000
0.1536,0.00000,0.00000,0.00000
0.1714,0.00000,0.00000,0.00000
0.1814,0.00000,0.00000,0.00000
0.1919,0.00000,0.00000,0.00000
0.2033,0.00000,0.00000,0.00000
0.2141,0.00000,0.00000,0.00000
0.2151,0.00000,0.00000,0.00000
0.2297,0.00000,0.00000,0.00000
0.2471,0.00000,0.00000,0.00000
0.3048,0.00000,0.00000,0.00000
0.3055,0.00000,0.00014,0.00000
0.3144,0.00000,0.00044,0.00000
0.3150,0.00000,0.00088,0.00000
0.3155,0.00000,0.00146,0.00000
0.3160,0.00000,0.00219,0.00000
0.3166,0.00000,0.00306,0.00000
0.3171,0.00000,0.00407,0.00000
0.3276,0.00000,0.00523,0.00000
0.3381,0.00000,0.00652,0.00000
0.3487,0.00000,0.00796,0.00000
0.3586,0.00000,0.00954,0.00000
0.3686,0.00000,0.01126,0.00000
0.3779,0.00000,0.01311,0.00000
0.3871,0.00000,0.01511,0.00000
0.3966,0.00000,0.01724,0.00000
0.4075,0.00000,0.01951,0.00000
0.4176,0.00000,0.02191,0.00000
0.4276,0.00000,0.02445,0.00000
0.4373,0.00000,0.02712,0.00000
0.4467,0.00000,0.02992,0.00000
0.4567,0.00000,0.03285,0.00000
0.4659,0.00000,0.03592,0.00000
0.4751,0.00000,0.03910,0.00000
0.4847,0.00000,0.04242,0.00000
0.4941,0.00000,0.04587,0.00000
0.5062,0.00000,0.04944,0.00000
0.5186,0.00000,0.05313,0.00000
0.5300,0.00000,0.05695,0.00000
0.5411,0.00000,0.06088,0.00000
0.5534,0.00000,0.06494,0.00000
0.5641,0.00000,0.06911,0.00000
0.5649,0.00000,0.07340,0.00000
0.5750,0.00000,0.07781,0.00000
0.5848,0.00000,0.08233,0.00000
0.5954,0.00000,0.08696,0.00000
0.6056,0.00000,0.09171,0.00000
0.6151,0.00000,0.09657,0.00000
0.6255,0.00000,0.10153,0.00000
0.6350,0.00000,0.10660,0.00000
0.6443,0.00000,0.11177,0.00000
0.6544,0.00000,0.11705,0.00000
