t_wall,x,y,z
0.0025,0.00000,0.00000,0.00000
0.0200,0.04312,0.06198,0.13300
0.0217,0.08606,0.12259,0.26544
0.0338,0.12881,0.18182,0.39731
0.0490,0.17142,0.23970,0.52863
0.0512,0.21384,0.29623,0.65939
0.0649,0.25607,0.35143,0.78964
0.0785,0.29813,0.40529,0.91937
0.0800,0.34003,0.45783,1.04858
0.0921,0.38174,0.50906,1.17728
0.1051,0.42331,0.55899,1.30545
0.1190,0.46472,0.60763,1.43314
0.1210,0.50598,0.65498,1.56033
0.1324,0.54706,0.70104,1.68704
0.1458,0.58798,0.74584,1.81326
0.1594,0.62875,0.78938,1.93900
0.1608,0.66937,0.83165,2.06427
0.1786,0.70984,0.87267,2.18906
0.2186,0.75015,0.91245,2.31339
0.2195,0.79031,0.95100,2.43726
0.2292,0.83035,0.98831,2.56067
0.2304,0.87024,1.02441,2.68365
0.2316,0.90997,1.05928,2.80618
0.2325,0.94955,1.09294,2.92828
0.2423,0.98901,1.12540,3.04996
0.2518,1.02832,1.15665,3.17117
0.2602,1.06750,1.18672,3.29196
0.2697,1.10654,1.21560,3.41235
0.2800,1.14545,1.24329,3.53232
0.2895,1.18420,1.26981,3.65186
0.2980,1.22284,1.29517,3.77100
0.3144,1.26135,1.31935,3.88974
0.3228,1.29971,1.34238,4.00806
0.3309,1.33795,1.36424,4.12598
0.3393,1.37607,1.38496,4.24350
0.3546,1.41406,1.40453,4.36066
0.3624,1.45193,1.42295,4.47742
0.3710,1.48969,1.44025,4.59378
0.3788,1.52731,1.45641,4.70978
0.3940,1.56479,1.47144,4.82538
0.4024,1.60214,1.48534,4.94061
0.4104,1.63937,1.49814,5.05545
0.4256,1.67651,1.50982,5.16992
0.4599,1.71353,1.52039,5.28403
0.4726,1.75043,1.52985,5.39777
0.4746,1.78720,1.53821,5.51114
0.4767,1.82385,1.54547,5.62415
0.5623,1.86038,1.55164,5.73682
0.5674,1.89679,1.55672,5.84912
0.5736,1.93311,1.56072,5.96106
0.5945,1.96930,1.56364,6.07266
0.5965,2.00537,1.56548,6.18390
0.5982,2.04132,1.56624,6.29480
0.6000,2.07718,1.56593,6.40536
0.6017,2.11292,1.56455,6.51556
0.7990,2.14853,1.56211,6.62543
0.8063,2.18405,1.55861,6.73495
0.8235,2.21945,1.55405,6.84415
0.8254,2.25476,1.54845,6.95300
0.8273,2.28995,1.54179,7.06152
0.8295,2.32504,1.53409,7.16971
0.8316,2.36002,1.52534,7.27756
0.8337,2.39490,1.51556,7.38507
0.8358,2.42966,1.50475,7.49225
0.8378,2.46432,1.49290,7.59912
0.8397,2.49887,1.48002,7.70569
0.8417,2.53333,1.46612,7.81195
0.8432,2.56769,1.45119,7.91791
0.8449,2.60196,1.43526,8.02359
0.8468,2.63614,1.41830,8.12897
0.8488,2.67023,1.40033,8.23407
0.8508,2.70422,1.38135,8.33887
0.8529,2.73813,1.36136,8.44336
0.8549,2.77191,1.34037,8.54758
0.8569,2.80560,1.31838,8.65152
0.8587,2.83920,1.29539,8.75516
0.8605,2.87271,1.27141,8.85852
0.8623,2.90613,1.24643,8.96158
0.8641,2.93945,1.22046,9.06436
0.8658,2.97269,1.19350,9.16687
0.8676,3.00583,1.16557,9.26907
0.8694,3.03888,1.13664,9.37100
0.8712,3.07184,1.10674,9.47266
0.8886,3.10471,1.07587,9.57404
0.8904,3.13748,1.04401,9.67514
0.8926,3.17017,1.01119,9.77597
0.8939,3.20276,0.97740,9.87653
0.8958,3.23529,0.94264,9.97681
0.8976,3.26773,0.90692,10.07681
0.8993,3.30008,0.87024,10.17654
0.9139,3.33234,0.83260,10.27600
0.9153,3.36450,0.79401,10.37518
0.9271,3.39658,0.75446,10.47409
0.9378,3.42856,0.71396,10.57275
0.9396,3.46045,0.67251,10.67114
0.9513,3.49228,0.63011,10.76926
0.9617,3.52402,0.58678,10.86710
0.9734,3.55566,0.54250,10.96469
0.9850,3.58722,0.49728,11.06201
1.0002,3.61908,0.45319,11.16028
1.0017,3.65030,0.39784,11.25043
1.0153,3.68045,0.33132,11.33289
1.0280,3.70941,0.25291,11.40726
1.0296,3.73709,0.16155,11.47284
1.0422,3.76355,0.05761,11.52979
1.0563,3.78851,-0.06034,11.57730
1.0674,3.81192,-0.19410,11.61386
1.0791,3.83380,-0.34363,11.63943
1.0806,3.85419,-0.50868,11.65417
1.0904,3.87314,-0.68877,11.65842
1.1009,3.89056,-0.88389,11.65213
1.1123,3.90656,-1.09371,11.63553
1.1258,3.92114,-1.31787,11.60880
1.1362,3.93433,-1.55603,11.57214
1.1468,3.94611,-1.80782,11.52582
1.1574,3.95645,-2.07279,11.47003
1.1672,3.96503,-2.35066,11.40475
1.1800,3.97183,-2.64082,11.33032
1.1814,3.97665,-2.94263,11.24698
1.1928,3.97922,-3.25549,11.15497
1.2025,3.97922,-3.57883,11.05438
1.2138,3.97623,-3.91209,10.94531
1.2237,3.96994,-4.25468,10.82794
1.2360,3.96011,-4.60605,10.70245
1.2465,3.94650,-4.96565,10.56894
1.2587,3.92923,-5.33297,10.42792
1.2599,3.90802,-5.70770,10.27936
1.2704,3.88278,-6.08954,10.12335
1.2812,3.85355,-6.47819,9.96011
1.2920,3.82037,-6.87336,9.78992
1.3027,3.78339,-7.27473,9.61304
1.3135,3.74277,-7.68202,9.42972
1.3257,3.69861,-8.09489,9.24036
1.3364,3.65109,-8.51301,9.04517
1.3473,3.60037,-8.93606,8.84454
1.3584,3.54654,-9.36373,8.63870
1.3594,3.48975,-9.79573,8.42798
1.3704,3.43011,-10.23184,8.21252
1.3825,3.36774,-10.67183,7.99261
1.3927,3.30276,-11.11546,7.76843
1.4055,3.23526,-11.56254,7.54022
1.4198,3.16531,-12.01284,7.30814
1.4209,3.09305,-12.46621,7.07239
1.4322,3.01852,-12.92247,6.83313
1.4453,2.94186,-13.38145,6.59052
1.4618,2.86307,-13.84299,6.34473
1.4628,2.78229,-14.30697,6.09589
1.4718,2.69955,-14.77322,5.84415
1.4807,2.61469,-15.24166,5.58939
1.4899,2.52698,-15.71223,5.33105
1.4990,2.43658,-16.18449,5.06952
1.5080,2.34106,-16.65791,4.80322
1.5239,2.24081,-17.13147,4.53302
1.5330,2.13513,-17.60407,4.25885
1.5432,2.02246,-18.07481,3.98016
1.5522,1.90131,-18.54204,3.69659
1.5614,1.76978,-19.00415,3.40756
1.5708,1.62628,-19.45880,3.11307
1.5792,1.46948,-19.90322,2.81363
1.5891,1.30020,-20.33806,2.50958
1.6056,1.11716,-20.76057,2.20135
1.6146,0.92007,-21.16906,1.88965
1.6232,0.70932,-21.56339,1.57480
1.6315,0.48550,-21.94365,1.25723
1.6410,0.24911,-22.31022,0.93713
1.6506,0.00064,-22.66352,0.61469
1.6594,-0.25943,-23.00396,0.29004
1.6677,-0.53067,-23.33193,-0.03668
1.6849,-0.81262,-23.64785,-0.36533
1.6929,-1.10483,-23.95215,-0.69574
1.7010,-1.40662,-24.24544,-1.02768
1.7094,-1.71762,-24.52811,-1.36115
1.7244,-2.03732,-24.80069,-1.69592
1.7333,-2.36282,-25.06546,-2.03052
1.7414,-2.69321,-25.32295,-2.36484
1.7492,-3.02313,-25.57690,-2.69650
1.7640,-3.34900,-25.82973,-3.02411
1.7729,-3.66861,-26.08308,-3.34665
1.7806,-3.96414,-26.34888,-3.65668
1.7888,-4.23602,-26.62634,-3.95364
1.8040,-4.48300,-26.91624,-4.23734
1.8118,-4.70602,-27.21815,-4.50806
1.8206,-4.90610,-27.53155,-4.76630
1.8282,-5.08426,-27.85596,-5.01263
1.8429,-5.24136,-28.19106,-5.24756
1.8512,-5.37830,-28.53648,-5.47162
1.8589,-5.49588,-28.89190,-5.68527
1.8735,-5.59476,-29.25681,-5.88876
1.8818,-5.67554,-29.63068,-6.08234
1.8894,-5.73883,-30.01302,-6.26617
1.9045,-5.78519,-30.40336,-6.44055
1.9126,-5.81528,-30.80128,-6.60571
1.9203,-5.82965,-31.20638,-6.76193
1.9281,-5.82892,-31.61829,-6.90952
1.9432,-5.81363,-32.03667,-7.04871
1.9510,-5.78439,-32.46111,-7.17978
1.9589,-5.74164,-32.89130,-7.30295
1.9745,-5.68622,-33.32681,-7.41861
1.9837,-5.61819,-33.76721,-7.52661
1.9911,-5.53717,-34.21228,-7.62659
1.9987,-5.44342,-34.66149,-7.71826
2.0136,-5.33691,-35.11440,-7.80167
2.0213,-5.21796,-35.57063,-7.87619
2.0289,-5.08752,-36.02908,-7.94165
2.0451,-4.94510,-36.48956,-7.99710
2.0529,-4.79068,-36.95152,-8.04187
2.0611,-4.62448,-37.41396,-8.07516
2.0691,-4.44681,-37.87562,-8.09619
2.0849,-4.25787,-38.33520,-8.10410
2.0929,-4.05801,-38.79141,-8.09811
2.1019,-3.84766,-39.24300,-8.07758
2.1105,-3.62723,-39.68868,-8.04181
2.1198,-3.39743,-40.12722,-7.99026
2.1291,-3.15887,-40.55734,-7.92252
2.1392,-2.91235,-40.97784,-7.83813
2.1490,-2.65869,-41.38771,-7.73685
2.1585,-2.39880,-41.78573,-7.61847
2.1690,-2.13382,-42.17073,-7.48294
2.1789,-1.86490,-42.54155,-7.33032
2.1884,-1.59326,-42.89705,-7.16086
2.1983,-1.32028,-43.23618,-6.97485
2.2080,-1.04730,-43.55794,-6.77277
2.2192,-0.77573,-43.86138,-6.55518
2.2297,-0.50702,-44.14564,-6.32281
2.2405,-0.24261,-44.40993,-6.07657
2.2497,0.01584,-44.65348,-5.81760
2.2596,0.26688,-44.87573,-5.54709
2.2694,0.50909,-45.07630,-5.26633
2.2787,0.74161,-45.25852,-4.97946
2.2880,0.96405,-45.42206,-4.68652
2.3067,1.17624,-45.56548,-4.38644
2.3154,1.37839,-45.68885,-4.07919
2.3250,1.57086,-45.79272,-3.76468
2.3343,1.75403,-45.87772,-3.44312
2.3438,1.92807,-45.94447,-3.11487
2.3532,2.09323,-45.99357,-2.78033
2.3624,2.24963,-46.02565,-2.43991
2.3715,2.39758,-46.04131,-2.09399
2.3827,2.53723,-46.04112,-1.74286
2.3926,2.66885,-46.02568,-1.38681
2.4021,2.79263,-45.99553,-1.02615
2.4119,2.90884,-45.95120,-0.66113
2.4210,3.01764,-45.89320,-0.29199
2.4302,3.11926,-45.82203,0.08105
2.4390,3.21390,-45.73815,0.45782
2.4479,3.30167,-45.64222,0.83765
2.4649,3.38272,-45.53467,1.22031
2.4747,3.45728,-45.41595,1.60565
2.4836,3.52551,-45.28648,1.99353
2.4930,3.58762,-45.14664,2.38376
2.5019,3.64371,-44.99683,2.77618
2.5125,3.69403,-44.83745,3.17065
2.5219,3.73871,-44.66885,3.56696
2.5307,3.77789,-44.49139,3.96497
2.5406,3.81177,-44.30545,4.36456
2.5498,3.84042,-44.11137,4.76553
2.5585,3.86407,-43.90951,5.16779
2.5763,3.88287,-43.70026,5.57101
2.5857,3.89700,-43.48408,5.97501
2.5944,3.90701,-43.26188,6.37936
2.6036,3.91263,-43.03355,6.78448
2.6123,3.91382,-42.79971,7.19022
2.6211,3.91068,-42.56085,7.59656
2.6306,3.90442,-42.31873,8.00244
2.6410,3.89404,-42.07300,8.40891
2.6507,3.87900,-41.82401,8.81644
2.6604,3.85892,-41.57236,9.22534
2.6706,3.83344,-41.31876,9.63580
2.6798,3.80234,-41.06414,10.04773
2.6897,3.76535,-40.80929,10.46109
2.6990,3.72202,-40.55483,10.87637
2.7098,3.67197,-40.30165,11.29364
2.7186,3.61484,-40.05051,11.71320
2.7290,3.55038,-39.80225,12.13513
2.7387,3.47833,-39.55769,12.55960
2.7551,3.39856,-39.31767,12.98663
2.7639,3.31094,-39.08318,13.41617
2.7745,3.21548,-38.85497,13.84818
2.7838,3.11227,-38.63380,14.28262
2.7927,3.00140,-38.42043,14.71930
2.8024,2.88300,-38.21555,15.15814
2.8112,2.75726,-38.01987,15.59888
2.8203,2.62436,-37.83411,16.04135
2.8292,2.48453,-37.65878,16.48541
2.8383,2.33835,-37.49534,16.93018
2.8552,2.18655,-37.34241,17.37546
2.8638,2.03140,-37.19822,17.81918
2.8724,1.87756,-37.05873,18.25748
2.8821,1.72461,-36.92367,18.69147
2.8954,1.57373,-36.79223,19.11996
2.9062,1.42477,-36.66450,19.54291
2.9226,1.27771,-36.54036,19.96048
2.9236,1.13251,-36.41972,20.37286
2.9318,0.98911,-36.30247,20.78009
2.9407,0.84744,-36.18855,21.18231
2.9490,0.70749,-36.07787,21.57971
2.9650,0.56918,-35.97033,21.97241
2.9735,0.43250,-35.86587,22.36047
2.9822,0.29739,-35.76440,22.74408
2.9919,0.16385,-35.66588,23.12329
3.0015,0.03180,-35.57021,23.49823
3.0101,-0.09872,-35.47742,23.86884
3.0192,-0.22775,-35.38743,24.23523
3.0289,-0.35535,-35.30018,24.59753
3.0387,-0.48151,-35.21561,24.95581
3.0479,-0.60629,-35.13366,25.31012
3.0654,-0.72974,-35.05428,25.66058
3.0740,-0.85184,-34.97740,26.00732
3.0830,-0.97415,-34.90406,26.35181
3.0919,-1.09518,-34.83313,26.69269
3.1012,-1.21515,-34.76468,27.03015
3.1105,-1.33386,-34.69854,27.36420
3.1194,-1.45139,-34.63467,27.69482
3.1297,-1.56772,-34.57301,28.02216
3.1393,-1.68292,-34.51354,28.34619
3.1484,-1.79697,-34.45621,28.66705
3.1669,-1.90991,-34.40099,28.98480
3.1756,-2.02179,-34.34782,29.29950
3.1842,-2.13266,-34.29675,29.61133
3.1934,-2.23877,-34.24501,29.91669
3.2023,-2.33496,-34.18890,30.21082
3.2112,-2.41870,-34.12674,30.49115
3.2210,-2.48981,-34.05833,30.75757
3.2310,-2.54816,-33.98347,31.01007
3.2397,-2.59357,-33.90193,31.24866
3.2486,-2.62592,-33.81349,31.47308
3.2581,-2.64496,-33.71795,31.68335
3.2681,-2.65051,-33.61503,31.87933
3.2853,-2.64236,-33.50449,32.06097
3.2949,-2.62027,-33.38609,32.22809
3.3035,-2.58398,-33.25961,32.38043
3.3122,-2.53329,-33.12486,32.51801
3.3208,-2.46829,-32.98185,32.64087
3.3297,-2.38947,-32.83092,32.74939
3.3385,-2.29724,-32.67241,32.84399
3.3553,-2.19214,-32.50665,32.92517
3.3656,-2.07455,-32.33399,32.99335
3.3748,-1.94501,-32.15479,33.04883
3.3835,-1.80383,-31.96933,33.09204
3.3937,-1.65149,-31.77792,33.12335
3.4025,-1.48831,-31.58081,33.14301
3.4117,-1.31476,-31.37833,33.15149
3.4206,-1.13110,-31.17073,33.14911
3.4296,-0.93781,-30.95832,33.13617
3.4381,-0.73517,-30.74136,33.11298
3.4556,-0.52362,-30.52016,33.07990
3.4658,-0.30347,-30.29501,33.03717
3.4753,-0.07504,-30.06615,32.98511
3.4838,0.16125,-29.83384,32.92401
3.4923,0.40521,-29.59831,32.85419
3.5008,0.65646,-29.35978,32.77588
3.5094,0.91473,-29.11845,32.68939
3.5185,1.17981,-28.87453,32.59491
3.5349,1.45135,-28.62821,32.49274
3.5439,1.72916,-28.37969,32.38306
