t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0047,5.01002,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21322,0.35715,-0.02512,0.10237,-1.00000,0.00000,0.00000,-0.00000
0.0118,5.02002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01686,0.21325,0.30182,-0.27073,-0.02009,-1.00000,0.00000,0.00000,-0.00000
0.0194,5.03002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01686,0.21328,0.00781,-0.43997,-0.02371,-1.00000,0.00000,0.00000,-0.00000
0.0344,5.04002,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21331,-0.13480,-0.62494,-0.01657,-1.00000,0.00000,0.00000,-0.00000
0.0414,5.05002,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21324,0.34554,0.00205,0.10054,-1.00000,0.00000,0.00000,-0.00000
0.0483,5.06002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01686,0.21327,0.30826,-0.27327,-0.01906,-1.00000,0.00000,0.00000,-0.00000
0.0622,5.07002,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21331,0.01173,-0.43541,-0.02389,-1.00000,0.00000,0.00000,-0.00000
0.0691,5.08002,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21324,0.35822,-0.02463,0.10242,-1.00000,0.00000,0.00000,-0.00000
0.0831,5.09002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01686,0.21327,0.30248,-0.26961,-0.02012,-1.00000,0.00000,0.00000,-0.00000
0.0900,5.10002,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21330,0.00853,-0.43900,-0.02376,-1.00000,0.00000,0.00000,-0.00000
0.1040,5.11002,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21323,0.35785,-0.02480,0.10240,-1.00000,0.00000,0.00000,-0.00000
0.1109,5.12002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21326,0.29416,-0.25784,-0.02112,-1.00000,0.00000,0.00000,-0.00000
0.1248,5.13002,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21329,0.01096,-0.44744,-0.02242,-1.00000,0.00000,0.00000,-0.00000
0.1318,5.14002,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21332,-0.14305,-0.63099,-0.01651,-1.00000,0.00000,0.00000,-0.00000
0.1387,5.15002,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21325,0.34582,-0.01229,0.10102,-1.00000,0.00000,0.00000,-0.00000
0.1528,5.16002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21328,0.28961,-0.26208,-0.01990,-1.00000,0.00000,0.00000,-0.00000
0.1599,5.17002,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21331,0.01062,-0.49768,-0.01900,-1.00000,0.00000,0.00000,-0.00000
0.1739,5.18002,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21324,0.31662,-0.03092,0.10159,-1.00000,0.00000,0.00000,-0.00000
0.1807,5.19002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21327,0.27350,-0.29521,-0.01850,-1.00000,0.00000,0.00000,-0.00000
0.1946,5.20002,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21331,-0.00519,-0.47947,-0.02144,-1.00000,0.00000,0.00000,-0.00000
0.2016,5.21002,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21323,0.35420,-0.01221,0.10178,-1.00000,0.00000,0.00000,-0.00000
0.2086,5.22002,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21327,0.29702,-0.25358,-0.02134,-1.00000,0.00000,0.00000,-0.00000
0.2234,5.23002,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21330,0.01097,-0.43552,-0.02396,-1.00000,0.00000,0.00000,-0.00000
0.2310,5.24003,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21323,0.34924,-0.03099,0.10246,-1.00000,0.00000,0.00000,-0.00000
0.2449,5.25003,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21326,0.29044,-0.27448,-0.01941,-1.00000,0.00000,0.00000,-0.00000
0.2517,5.26003,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21329,0.00213,-0.44727,-0.02336,-1.00000,0.00000,0.00000,-0.00000
0.2587,5.27003,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21332,-0.13546,-0.62522,-0.01660,-1.00000,0.00000,0.00000,-0.00000
0.2731,5.28003,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21325,0.34544,0.00201,0.10053,-1.00000,0.00000,0.00000,-0.00000
0.2810,5.29003,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21328,0.30819,-0.27334,-0.01906,-1.00000,0.00000,0.00000,-0.00000
0.2899,5.30003,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21331,0.01297,-0.48255,-0.02067,-1.00000,0.00000,0.00000,-0.00000
0.3023,5.31003,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21324,0.34002,-0.01130,0.10146,-1.00000,0.00000,0.00000,-0.00000
0.3202,5.32003,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21327,0.29010,-0.26203,-0.02096,-1.00000,0.00000,0.00000,-0.00000
0.3207,5.33003,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21330,0.00451,-0.44355,-0.02357,-1.00000,0.00000,0.00000,-0.00000
0.3317,5.34003,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21323,0.37153,-0.01123,0.10228,-1.00000,0.00000,0.00000,-0.00000
0.3427,5.35003,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21327,0.30652,-0.24193,-0.02185,-1.00000,0.00000,0.00000,-0.00000
0.3588,5.36003,0.00000,-0.00000,0.00000,0.00422,0.97683,0.01686,0.21330,0.01954,-0.42417,-0.02446,-1.00000,0.00000,0.00000,-0.00000
0.3811,5.37003,0.00000,0.00000,0.00000,0.00419,0.97685,0.01689,0.21323,0.35916,-0.02421,0.10246,-1.00000,0.00000,0.00000,-0.00000
0.3819,5.38003,0.00000,-0.00000,0.00000,0.00422,0.97684,0.01687,0.21326,0.29811,-0.26497,-0.01983,-1.00000,0.00000,0.00000,-0.00000
0.3825,5.39003,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21329,0.01738,-0.45038,-0.02278,-1.00000,0.00000,0.00000,-0.00000
0.3982,5.40003,0.00000,-0.00001,0.00000,0.00422,0.97683,0.01686,0.21332,-0.13570,-0.61112,-0.01707,-1.00000,0.00000,0.00000,-0.00000
0.4220,5.41003,0.00000,0.00000,0.00000,0.00419,0.97684,0.01689,0.21325,0.32292,-0.01758,0.10070,-1.00000,0.00000,0.00000,-0.00000
