t_sim,x,y,z
1.39003,0.00000,0.00000,0.00000
1.40003,0.00000,0.00000,0.00000
1.41003,0.00000,0.00000,0.00000
1.42003,0.00000,0.00000,0.00000
1.43003,0.00000,0.00000,0.00000
1.44003,0.00000,0.00000,0.00000
1.45003,0.00000,0.00000,0.00000
1.46003,0.00000,0.00000,0.00000
1.47003,0.00000,0.00000,0.00000
1.48003,0.00000,0.00000,0.00000
1.49003,0.00000,0.00000,0.00000
1.50003,0.00000,0.00000,0.00000
1.51003,0.00000,0.00000,0.00000
1.52003,0.00000,0.00000,0.00000
1.53003,0.00000,0.00000,0.00000
1.54003,0.00000,0.00000,0.00000
1.55003,0.00000,0.00000,0.00000
1.56003,0.00000,0.00000,0.00000
1.57003,0.00000,0.00000,0.00000
1.58003,0.00000,0.00000,0.00000
1.59003,0.00000,0.00000,0.00000
1.60003,0.00000,0.00000,0.00000
1.61004,0.00000,0.00000,0.00000
1.62004,0.00000,0.00000,0.00000
1.63004,0.00000,0.00000,0.00000
1.64004,0.00000,0.00000,0.00000
1.65004,0.00000,0.00000,0.00000
1.66004,0.00000,0.00000,0.00000
1.67004,0.00000,0.00000,0.00000
1.68004,0.00000,0.00000,0.00000
1.69004,0.00000,0.00000,0.00000
1.70004,0.00000,0.00000,0.00000
1.71004,0.00000,0.00000,0.00000
1.72004,0.00000,0.00000,0.00000
1.73004,0.00000,0.00000,0.00000
1.74004,0.00000,0.00000,0.00000
1.75004,0.00000,0.00000,0.00000
1.76004,0.00000,0.00000,0.00000
1.77004,0.00000,0.00000,0.00000
1.78004,0.00000,0.00000,0.00000
1.79004,0.00000,0.00000,0.00000
1.80004,0.00000,0.00000,0.00000
1.81004,0.00000,0.00000,0.00000
1.82004,0.00000,0.00000,0.00000
1.83004,0.00000,0.00000,0.00000
1.84004,0.00000,0.00000,0.00000
1.85004,0.00000,0.00000,0.00000
1.86004,0.00000,0.00000,0.00000
1.87004,0.00000,0.00000,0.00000
1.88004,-0.00012,0.00000,0.00000
1.89004,-0.00012,0.00000,0.00000
1.90004,-0.00012,0.00063,0.00000
1.91004,-0.00012,0.00050,0.00000
1.92004,-0.00012,0.00031,0.00000
1.93004,-0.00012,0.00220,0.00000
1.94004,-0.00012,0.00615,0.00000
1.95004,-0.00012,0.01213,0.00000
1.96004,-0.00012,0.02011,0.00000
1.97004,-0.00012,0.03008,0.00000
1.98004,-0.00012,0.04196,0.00000
1.99004,-0.00012,0.05576,0.00000
2.00004,-0.00012,0.07140,0.00000
2.01004,-0.00012,0.08885,0.00000
2.02004,-0.00024,0.10808,0.00000
2.03004,-0.00037,0.12901,0.00000
2.04004,-0.00049,0.15161,0.00000
2.05005,-0.00061,0.17583,0.00000
2.06005,-0.00073,0.20160,0.00000
2.07005,-0.00085,0.22887,0.00000
2.08005,-0.00098,0.25757,0.00000
2.09005,-0.00110,0.28766,0.00000
2.10005,-0.00122,0.31908,0.00000
2.11005,-0.00134,0.35175,0.00000
2.12005,-0.00146,0.38562,0.00024
2.13005,-0.00159,0.42062,0.00049
2.14005,-0.00171,0.45670,0.00073
2.15005,-0.00183,0.49379,0.00098
2.16005,-0.00195,0.53189,0.00122
2.17005,-0.00208,0.57100,0.00146
2.18005,-0.00220,0.61110,0.00171
2.19005,-0.00232,0.65219,0.00195
2.20005,-0.00244,0.69426,0.00220
2.21005,-0.00256,0.73729,0.00244
2.22005,-0.00269,0.78128,0.00269
2.23005,-0.00281,0.82622,0.00293
2.24005,-0.00293,0.87210,0.00317
2.25005,-0.00305,0.91891,0.00342
2.26005,-0.00317,0.96664,0.00366
2.27005,-0.00330,1.01529,0.00391
2.28005,-0.00342,1.06483,0.00415
2.29005,-0.00354,1.11528,0.00439
2.30005,-0.00366,1.16661,0.00464
2.31005,-0.00378,1.21883,0.00488
2.32005,-0.00391,1.27190,0.00513
2.33005,-0.00403,1.32584,0.00537
2.34005,-0.00415,1.38063,0.00562
2.35005,-0.00427,1.43626,0.00586
2.36005,-0.00439,1.49272,0.00610
2.37005,-0.00464,1.55000,0.00635
2.38005,-0.00488,1.60811,0.00659
2.39005,-0.00513,1.66702,0.00684
2.40005,-0.00537,1.72673,0.00708
2.41005,-0.00562,1.78723,0.00732
2.42005,-0.00586,1.84851,0.00757
2.43005,-0.00610,1.91057,0.00781
2.44005,-0.00635,1.97339,0.00806
2.45005,-0.00659,2.03697,0.00830
2.46005,-0.00684,2.10130,0.00854
2.47005,-0.00708,2.16638,0.00879
2.48006,-0.00732,2.23219,0.00903
2.49006,-0.00757,2.29874,0.00928
2.50006,-0.00781,2.36600,0.00952
2.51006,-0.00806,2.43396,0.00977
2.52006,-0.00830,2.50262,0.01001
2.53006,-0.00842,2.57199,0.01025
2.54006,-0.00867,2.64204,0.01050
2.55006,-0.00891,2.71278,0.01050
2.56006,-0.00916,2.78419,0.01074
