t_sim,x,y,z
0.00000,0.00000,0.00000,0.00000
0.01000,0.00000,0.00000,0.00000
0.02000,0.00000,0.00000,0.00003
0.03000,0.00000,0.00000,0.00000
0.04001,0.00000,0.00000,0.00003
0.05001,0.00000,0.00000,0.00003
0.06001,0.00000,0.00000,0.00003
0.07001,0.00006,0.00002,0.00003
0.08002,0.00000,0.00000,0.00000
0.09002,0.00000,0.00002,0.00003
0.10002,0.00000,0.00002,0.00000
0.11002,0.00000,0.00002,0.00003
0.12002,0.00000,0.00002,0.00000
0.13003,0.00000,0.00002,0.00003
0.14003,0.00000,0.00002,0.00000
0.15003,0.00000,0.00002,0.00003
0.16003,0.00000,0.00000,0.00000
0.17003,0.00000,0.00000,0.00000
0.18004,0.00000,0.00000,0.00000
0.19004,0.00000,0.00000,0.00000
0.20004,0.00000,0.00000,0.00000
0.21004,0.00000,0.00000,0.00000
0.22005,0.00000,0.00000,0.00000
0.23005,0.00000,0.00000,0.00000
0.24005,0.00000,0.00000,0.00000
0.25005,0.00000,0.00000,0.00000
0.26005,0.00000,0.00000,0.00000
0.27006,0.00000,0.00000,0.00000
0.28006,0.00000,0.00000,0.00000
0.29006,0.00000,0.00002,0.00000
0.30006,0.00000,0.00002,0.00003
0.31006,0.00000,0.00002,0.00000
0.32007,0.00000,0.00002,0.00003
0.33007,0.00000,0.00002,0.00000
0.34007,0.00000,0.00002,0.00000
0.35007,-0.00055,0.00026,-0.00018
0.36008,-0.00214,0.00070,-0.00049
0.37008,-0.00439,0.00127,-0.00073
0.38008,-0.00720,0.00186,-0.00137
0.39008,-0.01105,0.00261,-0.00211
0.40008,-0.01562,0.00343,-0.00278
0.41009,-0.02112,0.00439,-0.00375
0.42009,-0.02747,0.00555,-0.00488
0.43009,-0.03473,0.00693,-0.00626
0.44009,-0.04279,0.00850,-0.00775
0.45009,-0.05170,0.01025,-0.00940
0.46010,-0.06152,0.01222,-0.01123
0.47010,-0.07214,0.01437,-0.01321
0.48010,-0.08362,0.01671,-0.01535
0.49010,-0.09589,0.01921,-0.01767
0.50010,-0.10907,0.02191,-0.02011
