t_sim,x,y,z
0.00000,0.00000,0.00000,0.00000
0.01000,0.00000,0.00002,0.00000
0.02000,0.00000,0.00000,0.00000
0.03000,0.00000,0.00002,0.00000
0.04000,0.00000,0.00000,0.00000
0.05000,0.00000,0.00002,0.00000
0.06000,0.00000,0.00000,0.00000
0.07000,0.00000,0.00003,-0.00002
0.08000,0.00000,0.00000,0.00000
0.09000,0.00000,0.00002,0.00000
0.10000,0.00003,0.00000,0.00000
0.11000,0.00000,0.00002,0.00000
0.12000,0.00000,0.00000,0.00000
0.13000,0.00000,0.00002,0.00000
0.14000,0.00000,0.00002,0.00000
0.15000,0.00000,0.00002,0.00000
0.16000,0.00000,0.00002,0.00000
0.17000,-0.00003,0.00000,0.00000
0.18000,0.00000,0.00002,0.00000
0.19000,0.00000,0.00000,0.00000
0.20000,0.00000,0.00002,0.00000
0.21000,0.00000,0.00000,0.00000
0.22000,0.00000,0.00002,0.00000
0.23000,0.00000,0.00002,0.00000
0.24000,0.00003,0.00002,0.00000
0.25000,0.00003,0.00000,0.00000
0.26000,0.00000,0.00002,0.00000
0.27000,0.00000,0.00000,0.00000
0.28000,0.00000,0.00002,0.00000
0.29000,0.00003,0.00002,0.00000
0.30000,0.00000,0.00000,0.00000
0.31000,0.00000,0.00002,0.00000
0.32000,0.00000,0.00000,0.00000
0.33000,0.00000,0.00002,0.00000
0.34000,0.00000,0.00002,0.00000
0.35000,0.00003,0.00002,0.00000
0.36000,0.00003,0.00000,0.00000
0.37000,0.00000,0.00002,0.00000
0.38000,0.00000,0.00000,0.00000
0.39000,0.00000,0.00002,0.00000
0.40000,0.00003,0.00002,0.00000
0.41000,0.00000,0.00000,0.00000
0.42000,0.00000,0.00002,0.00000
0.43000,0.00000,0.00000,0.00000
0.44000,0.00000,0.00002,0.00000
0.45000,0.00000,0.00000,0.00000
0.46000,0.00000,0.00002,0.00000
0.47000,0.00000,0.00002,0.00000
0.48000,0.00003,0.00000,0.00000
0.49000,0.00000,0.00002,0.00000
0.50000,0.00000,0.00002,0.00000
0.51000,0.00000,0.00000,0.00000
0.52000,0.00000,0.00002,0.00000
0.53000,0.00000,0.00002,0.00000
0.54000,0.00003,0.00000,-0.00002
0.55000,0.00000,0.00002,0.00000
0.56000,0.00000,0.00000,0.00000
0.57000,0.00000,0.00002,0.00000
0.58000,0.00000,0.00000,0.00000
0.59000,0.00000,0.00002,0.00000
0.60000,0.00000,0.00000,0.00000
0.61000,0.00000,0.00002,0.00000
0.62000,0.00000,0.00000,0.00000
0.63000,0.00000,0.00002,0.00000
0.64000,0.00000,0.00000,0.00000
0.65000,0.00000,0.00002,0.00000
0.66000,0.00000,0.00000,0.00000
0.67000,0.00000,0.00002,0.00000
0.68000,0.00000,0.00002,0.00000
0.69000,0.00003,0.00000,0.00000
0.70000,0.00000,0.00002,0.00000
0.71000,0.00000,0.00000,0.00000
0.72000,0.00000,0.00002,0.00000
0.73000,0.00000,0.00002,0.00000
0.74000,0.00000,0.00002,0.00000
0.75000,-0.00003,0.00000,0.00000
0.76000,0.00000,0.00002,0.00000
0.77000,0.00000,0.00000,0.00000
0.78000,0.00000,0.00002,0.00000
0.79000,0.00000,0.00000,0.00000
0.80000,0.00000,0.00002,0.00000
0.81000,0.00000,0.00002,0.00000
0.82000,0.00003,0.00002,0.00000
0.83000,0.00003,0.00000,0.00000
0.84000,0.00000,0.00002,0.00000
0.85000,0.00000,0.00000,0.00000
0.86000,0.00000,0.00002,0.00000
0.87000,0.00003,0.00002,0.00000
0.88000,0.00000,0.00000,0.00000
0.89000,0.00000,0.00002,0.00000
0.90000,0.00000,0.00000,-0.00002
0.91000,0.00000,0.00002,0.00000
0.92000,0.00000,0.00002,0.00000
0.93000,0.00000,0.00002,0.00000
0.94000,0.00003,0.00000,0.00000
0.95000,0.00000,0.00002,0.00000
0.96000,0.00000,0.00002,0.00000
0.97000,0.00000,0.00000,0.00000
0.98000,0.00000,0.00002,0.00000
0.99000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00002,0.00000
1.01000,0.00000,0.00000,0.00000
1.02000,0.00000,0.00002,0.00000
1.03000,0.00000,0.00000,0.00000
1.04000,0.00000,0.00002,0.00000
1.05000,0.00000,0.00002,0.00000
1.06000,0.00000,0.00000,0.00000
1.07000,0.00000,0.00002,0.00000
1.08000,0.00000,0.00000,0.00000
1.09000,0.00003,0.00002,0.00000
1.10000,0.00000,0.00000,0.00000
1.11000,0.00003,0.00002,0.00000
1.12000,0.00000,0.00000,0.00000
1.13000,0.00000,0.00002,0.00000
1.14000,0.00000,0.00002,0.00000
1.15000,0.00003,0.00000,0.00000
1.16000,-0.00003,0.00002,0.00000
1.17000,0.00000,0.00002,0.00000
1.18000,0.00000,0.00000,0.00000
1.19000,0.00000,0.00002,0.00000
1.20000,0.00000,0.00000,0.00000
1.21000,0.00000,0.00002,0.00000
1.22000,0.00000,0.00000,0.00000
1.23000,0.00000,0.00002,0.00000
1.24000,0.00000,0.00000,0.00000
1.25000,0.00000,0.00002,0.00000
1.26000,0.00000,0.00000,0.00000
1.27000,0.00000,0.00002,-0.00002
1.28000,0.00000,0.00000,0.00000
1.29000,0.00000,0.00002,0.00000
1.30000,0.00000,0.00000,0.00000
1.31000,0.00000,0.00002,0.00000
1.32000,0.00000,0.00000,0.00000
1.33000,0.00000,0.00002,0.00000
1.34000,0.00000,0.00000,0.00000
1.35000,0.00000,0.00002,0.00000
1.36000,0.00000,0.00000,0.00000
1.37000,0.00003,0.00002,0.00000
1.38000,0.00000,0.00002,0.00000
1.39000,-0.00003,0.00002,0.00000
1.40000,0.00000,0.00000,0.00000
1.41000,0.00000,0.00002,-0.00002
1.42000,0.00000,0.00000,0.00000
1.43000,0.00000,0.00002,0.00000
1.44000,0.00000,0.00000,0.00000
1.45000,0.00000,0.00002,0.00000
1.46000,0.00000,0.00000,0.00000
1.47000,0.00003,0.00002,0.00000
1.48000,0.00003,0.00000,0.00000
1.49000,0.00000,0.00002,0.00000
1.50000,0.00000,0.00000,0.00000
1.51000,0.00000,0.00002,0.00000
1.52000,0.00000,0.00002,0.00000
1.53000,0.00003,0.00000,0.00000
1.54000,-0.00003,0.00002,0.00000
1.55000,0.00000,0.00002,0.00000
1.56000,0.00000,0.00000,0.00000
1.57000,0.00000,0.00002,0.00000
1.58000,0.00000,0.00002,0.00000
1.59000,0.00000,0.00000,0.00000
1.60000,0.00000,0.00002,0.00000
1.61000,0.00000,0.00000,0.00000
1.62000,0.00000,0.00002,0.00000
1.63000,0.00000,0.00000,0.00000
1.64000,0.00000,0.00002,0.00000
1.65000,0.00000,0.00000,0.00000
1.66000,0.00000,0.00002,0.00000
1.67000,0.00000,0.00000,0.00000
1.68000,0.00000,0.00003,-0.00002
1.69000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00002,0.00000
1.71000,0.00000,0.00000,0.00000
1.72000,0.00000,0.00002,0.00000
1.73000,0.00000,0.00002,0.00000
1.74000,0.00003,0.00002,0.00000
1.75000,-0.00003,0.00000,0.00000
1.76000,0.00000,0.00002,0.00000
1.77000,-0.00003,0.00002,0.00000
1.78000,0.00003,0.00002,0.00000
1.79000,-0.00003,0.00000,0.00000
1.80000,0.00000,0.00002,0.00000
1.81000,0.00000,0.00000,0.00000
1.82000,0.00000,0.00002,0.00000
1.83000,0.00000,0.00000,0.00000
1.84000,0.00000,0.00002,0.00000
1.85000,0.00003,0.00002,0.00000
1.86000,0.00003,0.00000,0.00000
1.87000,0.00000,0.00002,0.00000
1.88000,0.00000,0.00000,0.00000
1.89000,0.00000,0.00002,0.00000
1.90000,0.00003,0.00002,0.00000
1.91000,0.00000,0.00000,0.00000
1.92000,0.00000,0.00002,0.00000
1.93000,0.00000,0.00000,0.00000
1.94000,0.00000,0.00002,0.00000
1.95000,0.00000,0.00002,0.00000
1.96000,0.00000,0.00000,0.00000
1.97000,0.00000,0.00002,0.00000
1.98000,0.00003,0.00000,0.00000
1.99000,0.00000,0.00002,0.00000
2.00000,0.00000,0.00002,0.00000
2.01000,0.00000,0.00000,0.00000
2.02000,0.00000,0.00002,0.00000
2.03000,0.00000,0.00002,0.00000
2.04000,0.00003,0.00000,-0.00002
2.05000,0.00000,0.00002,0.00000
2.06000,0.00000,0.00000,0.00000
2.07000,0.00000,0.00002,0.00000
2.08000,0.00000,0.00002,0.00000
2.09000,0.00000,0.00000,0.00000
2.10000,0.00000,0.00002,0.00000
2.11000,0.00000,0.00000,0.00000
2.12000,0.00000,0.00002,0.00000
2.13000,0.00000,0.00000,0.00000
2.14000,0.00000,0.00002,0.00000
2.15001,0.00000,0.00000,0.00000
2.16001,0.00000,0.00002,0.00000
2.17001,0.00000,0.00000,0.00000
2.18001,0.00000,0.00002,0.00000
2.19001,0.00000,0.00002,0.00000
2.20001,0.00000,0.00000,0.00000
2.21001,0.00000,0.00002,0.00000
2.22001,0.00000,0.00000,0.00000
2.23001,0.00003,0.00002,0.00000
2.24001,0.00000,0.00002,0.00000
2.25001,0.00000,0.00000,0.00000
2.26001,-0.00003,0.00002,0.00000
2.27001,0.00003,0.00002,0.00000
2.28001,-0.00003,0.00000,0.00000
2.29001,0.00000,0.00002,0.00000
2.30001,0.00000,0.00000,0.00000
2.31001,0.00000,0.00002,0.00000
2.32001,0.00000,0.00000,0.00000
2.33001,0.00000,0.00002,0.00000
2.34001,0.00003,0.00002,0.00000
2.35001,0.00003,0.00000,0.00000
2.36001,-0.00003,0.00002,0.00000
2.37001,0.00000,0.00000,0.00000
2.38001,0.00000,0.00002,0.00000
2.39001,0.00003,0.00002,0.00000
2.40001,0.00000,0.00000,0.00000
2.41001,0.00000,0.00002,0.00000
2.42001,0.00000,0.00000,0.00000
2.43001,0.00000,0.00002,0.00000
2.44001,0.00000,0.00002,0.00000
2.45001,0.00000,0.00000,0.00000
2.46001,0.00000,0.00002,0.00000
2.47001,0.00000,0.00002,0.00000
2.48001,0.00000,0.00002,0.00000
2.49001,0.00000,0.00000,0.00000
2.50001,0.00000,0.00002,0.00000
2.51001,0.00000,0.00000,0.00000
2.52001,0.00000,0.00002,0.00000
2.53001,0.00000,0.00000,0.00000
2.54001,0.00000,0.00002,0.00000
2.55001,0.00000,0.00000,0.00000
2.56001,0.00000,0.00002,0.00000
2.57001,0.00000,0.00002,-0.00002
2.58001,0.00000,0.00000,0.00000
2.59002,0.00000,0.00002,0.00000
2.60002,0.00000,0.00000,0.00000
2.61002,0.00003,0.00003,0.00000
2.62002,0.00003,0.00000,0.00000
2.63002,0.00000,0.00002,0.00000
2.64002,0.00000,0.00000,0.00000
2.65002,0.00000,0.00002,0.00000
2.66002,0.00000,0.00002,0.00000
2.67002,0.00003,0.00002,0.00000
2.68002,0.00000,0.00002,0.00000
2.69002,-0.00003,0.00002,0.00000
2.70002,0.00000,0.00000,0.00000
2.71002,0.00000,0.00002,-0.00002
2.72002,0.00000,0.00000,0.00000
2.73002,0.00000,0.00002,0.00000
2.74002,0.00000,0.00000,0.00000
2.75002,0.00000,0.00002,0.00000
2.76002,0.00000,0.00000,0.00000
2.77002,0.00000,0.00002,0.00000
2.78002,0.00003,0.00002,0.00000
2.79002,0.00003,0.00000,0.00000
2.80002,0.00000,0.00002,0.00000
2.81002,0.00000,0.00000,0.00000
2.82002,0.00000,0.00002,0.00000
2.83002,-0.00003,0.00002,0.00000
2.84002,0.00000,0.00002,0.00000
2.85002,0.00000,0.00000,0.00000
2.86002,0.00000,0.00002,0.00000
2.87002,0.00000,0.00000,0.00000
2.88002,0.00003,0.00002,0.00000
2.89002,0.00003,0.00000,0.00000
2.90002,0.00000,0.00002,0.00000
2.91002,0.00000,0.00000,0.00000
2.92002,0.00000,0.00002,0.00000
2.93002,0.00000,0.00002,0.00000
2.94002,0.00003,0.00000,0.00000
2.95002,-0.00003,0.00002,0.00000
2.96002,0.00000,0.00002,0.00000
2.97002,0.00000,0.00000,-0.00002
2.98002,0.00000,0.00002,0.00000
2.99002,0.00000,0.00000,0.00000
3.00002,0.00000,0.00002,0.00000
3.01002,0.00000,0.00000,0.00000
3.02003,0.00000,0.00002,0.00000
3.03003,0.00003,0.00000,-0.00002
3.04003,0.00000,0.00002,0.00000
3.05003,0.00000,0.00000,0.00000
3.06003,0.00000,0.00002,0.00000
3.07003,0.00000,0.00000,0.00000
3.08003,0.00000,0.00002,0.00000
3.09003,0.00000,0.00000,0.00000
3.10003,0.00000,0.00002,0.00000
3.11003,0.00000,0.00000,0.00000
3.12003,0.00000,0.00002,0.00000
3.13003,0.00000,0.00000,0.00000
3.14003,0.00000,0.00002,0.00000
3.15003,0.00000,0.00002,0.00000
3.16003,0.00000,0.00002,0.00000
3.17003,0.00003,0.00000,0.00000
3.18003,0.00000,0.00002,0.00000
3.19003,0.00000,0.00002,0.00000
3.20003,0.00000,0.00002,0.00000
3.21003,-0.00003,0.00000,0.00000
3.22003,0.00000,0.00002,0.00000
3.23003,0.00000,0.00000,0.00000
3.24003,0.00015,0.00133,-0.00014
3.25003,0.00052,0.00520,-0.00050
3.26003,0.00113,0.01161,-0.00110
3.27003,0.00195,0.02051,-0.00191
3.28003,0.00299,0.03183,-0.00293
3.29003,0.00424,0.04553,-0.00417
3.30003,0.00571,0.06155,-0.00560
3.31003,0.00739,0.07983,-0.00725
3.32003,0.00928,0.10030,-0.00909
3.33003,0.01135,0.12288,-0.01114
3.34003,0.01364,0.14749,-0.01337
3.35003,0.01611,0.17407,-0.01578
3.36003,0.01877,0.20251,-0.01837
3.37003,0.02161,0.23274,-0.02113
3.38003,0.02460,0.26468,-0.02406
3.39003,0.02783,0.29941,-0.02724
3.40003,0.03131,0.33678,-0.03064
3.41003,0.03519,0.37935,-0.03442
3.42003,0.03970,0.43097,-0.03885
3.43003,0.04486,0.49158,-0.04390
3.44003,0.05066,0.56097,-0.04956
3.45003,0.05707,0.63901,-0.05582
3.46004,0.06409,0.72552,-0.06267
3.47004,0.07172,0.82037,-0.07010
3.48004,0.07993,0.92340,-0.07811
3.49004,0.08871,1.03445,-0.08669
3.50004,0.09808,1.15337,-0.09581
3.51004,0.10800,1.28001,-0.10548
3.52004,0.11847,1.41423,-0.11569
3.53004,0.12949,1.55586,-0.12643
3.54004,0.14102,1.70479,-0.13770
3.55004,0.15308,1.86086,-0.14946
3.56004,0.16565,2.02391,-0.16173
3.57004,0.17874,2.19380,-0.17448
3.58004,0.19232,2.37036,-0.18771
3.59004,0.20636,2.55347,-0.20142
3.60004,0.22089,2.74298,-0.21558
3.61004,0.23587,2.93872,-0.23019
3.62004,0.25131,3.14052,-0.24525
3.63004,0.26718,3.34830,-0.26074
3.64004,0.28351,3.56184,-0.27666
3.65004,0.30023,3.78088,-0.29305
3.66004,0.31738,4.00546,-0.30983
3.67004,0.33493,4.23528,-0.32701
3.68004,0.35284,4.47009,-0.34457
3.69004,0.37115,4.70999,-0.36244
3.70004,0.38980,4.95477,-0.38057
3.71004,0.40887,5.20433,-0.39888
3.72004,0.42825,5.45819,-0.41743
3.73004,0.44800,5.71625,-0.43617
3.74004,0.46805,5.97852,-0.45491
3.75004,0.48843,6.24484,-0.47359
3.76004,0.50912,6.51434,-0.49248
3.77004,0.53012,6.78760,-0.51109
3.78004,0.55148,7.06442,-0.52916
3.79004,0.57315,7.34471,-0.54642
3.80004,0.59515,7.62849,-0.56250
3.81004,0.61746,7.91562,-0.57715
3.82004,0.64005,8.20595,-0.59007
3.83004,0.66296,8.49937,-0.60095
3.84004,0.68619,8.79474,-0.60899
3.85004,0.70959,9.09219,-0.61424
3.86004,0.73337,9.39233,-0.61676
3.87004,0.75745,9.69525,-0.61664
3.88004,0.78183,10.00093,-0.61391
3.89004,0.80652,10.30931,-0.60861
3.90005,0.83151,10.62044,-0.60075
3.91005,0.85681,10.93430,-0.59033
3.92005,0.88242,11.25081,-0.57738
3.93005,0.90833,11.56990,-0.56194
3.94005,0.93451,11.89153,-0.54402
3.95005,0.96100,12.21565,-0.52365
3.96005,0.98776,12.54219,-0.50089
3.97005,1.01480,12.87106,-0.47574
3.98005,1.04211,13.20224,-0.44824
3.99005,1.06970,13.53564,-0.41843
4.00005,1.09753,13.87120,-0.38632
4.01005,1.12561,14.20885,-0.35197
4.02005,1.15396,14.54854,-0.31540
4.03005,1.18256,14.89020,-0.27663
4.04005,1.21136,15.23378,-0.23569
4.05005,1.24042,15.57909,-0.19275
4.06005,1.26968,15.92615,-0.14775
4.07005,1.29919,16.27475,-0.10083
4.08005,1.32886,16.62434,-0.05252
4.09005,1.35867,16.97527,-0.00230
4.10005,1.38870,17.32735,0.04987
4.11005,1.41891,17.68048,0.10411
4.12005,1.44928,18.03473,0.16072
4.13005,1.47977,18.38988,0.21973
4.14005,1.51035,18.74583,0.28125
4.15005,1.54099,19.10248,0.34547
4.16005,1.57169,19.45973,0.41269
4.17005,1.60245,19.81750,0.48308
4.18005,1.63327,20.17563,0.55685
4.19005,1.66412,20.53398,0.63423
4.20005,1.69504,20.89243,0.71555
4.21005,1.72607,21.25076,0.80116
4.22005,1.75723,21.60814,0.89088
4.23005,1.78854,21.96521,0.98517
4.24005,1.81989,22.32117,1.08353
4.25005,1.85129,22.67654,1.18623
4.26005,1.88281,23.03146,1.29330
4.27005,1.91446,23.38594,1.40471
4.28005,1.94620,23.73996,1.52037
4.29005,1.97803,24.09351,1.64023
4.30005,2.00998,24.44656,1.76421
4.31005,2.04202,24.79912,1.89223
4.32005,2.07416,25.15115,2.02425
4.33006,2.10638,25.50266,2.16019
4.34006,2.13867,25.85361,2.29999
4.35006,2.17105,26.20398,2.44359
4.36006,2.20352,26.55376,2.59082
4.37006,2.23593,26.90282,2.74106
4.38006,2.26840,27.25119,2.89476
4.39006,2.30072,27.59862,3.05080
4.40006,2.33304,27.94505,3.20999
4.41006,2.36526,28.29024,3.37166
4.42006,2.39777,28.63405,3.53699
4.43006,2.43073,28.97607,3.70654
4.44006,2.46432,29.31589,3.88069
4.45006,2.49875,29.65317,4.05975
4.46006,2.53421,29.98749,4.24394
4.47006,2.57092,30.31837,4.43346
4.48006,2.60907,30.64532,4.62845
4.49006,2.64893,30.96802,4.82915
4.50006,2.69064,31.28596,5.03564
4.51006,2.73447,31.59865,5.24802
4.52006,2.78067,31.90555,5.46629
4.53006,2.82935,32.20573,5.68950
4.54006,2.88080,32.49930,5.91833
4.55006,2.93558,32.78563,6.15268
4.56006,2.99341,33.06514,6.39261
4.57006,3.05417,33.33797,6.63803
4.58006,3.11774,33.60425,6.88881
4.59006,3.18408,33.86409,7.14482
4.60006,3.25311,34.11760,7.40594
4.61006,3.32477,34.36488,7.67201
4.62006,3.39899,34.60603,7.94292
4.63006,3.47571,34.84116,8.21854
4.64006,3.55490,35.07034,8.49876
4.65006,3.63644,35.29355,8.78334
4.66006,3.72028,35.51088,9.07216
4.67006,3.80637,35.72244,9.36513
4.68006,3.89465,35.92831,9.66214
4.69006,3.98511,36.12860,9.96310
4.70006,4.07767,36.32338,10.26794
4.71006,4.17227,36.51274,10.57655
4.72006,4.26892,36.69678,10.88885
4.73006,4.36752,36.87555,11.20476
4.74006,4.46808,37.04915,11.52419
4.75006,4.57034,37.21767,11.84692
4.76006,4.67444,37.38120,12.17297
4.77007,4.78033,37.53978,12.50221
4.78007,4.88794,37.69350,12.83447
4.79007,4.99658,37.84258,13.16907
4.80007,5.10684,37.98703,13.50633
4.81007,5.21896,38.12700,13.84622
4.82007,5.33292,38.26257,14.18858
4.83007,5.44867,38.39389,14.53310
4.84007,5.56641,38.52104,14.87971
4.85007,5.68658,38.64413,15.22841
4.86007,5.80875,38.76331,15.57869
4.87007,5.93134,38.87877,15.92963
4.88007,6.05670,38.99072,16.28192
4.89007,6.18555,39.09930,16.63519
4.90007,6.31842,39.20468,16.98903
4.91007,6.45569,39.30699,17.34303
4.92007,6.59769,39.40643,17.69672
4.93007,6.74487,39.50319,18.04958
4.94007,6.89746,39.59746,18.40103
4.95007,7.05585,39.68941,18.75050
4.96007,7.22025,39.77928,19.09741
4.97007,7.39099,39.86729,19.44115
4.98007,7.56824,39.95370,19.78110
4.99007,7.75217,40.03874,20.11661
5.00007,7.94290,40.12262,20.44698
5.01007,8.14047,40.20558,20.77145
5.02007,8.34479,40.28786,21.08928
5.03007,8.55576,40.36963,21.39967
5.04007,8.77316,40.45108,21.70189
5.05007,8.99673,40.53239,21.99506
5.06007,9.22601,40.61375,22.27832
5.07007,9.46054,40.69516,22.55119
5.08007,9.69989,40.77663,22.81319
5.09007,9.94357,40.85815,23.06393
5.10007,10.19104,40.93967,23.30296
5.11007,10.44180,41.02112,23.53009
5.12007,10.69550,41.10239,23.74513
5.13007,10.95169,41.18341,23.94797
5.14007,11.20990,41.26408,24.13847
5.15007,11.46948,41.34419,24.31683
5.16007,11.73074,41.42372,24.48308
5.17007,11.99356,41.50256,24.63736
5.18007,12.25775,41.58058,24.77988
5.19007,12.52322,41.65770,24.91074
5.20007,12.78989,41.73383,25.03009
5.21008,13.05762,41.80884,25.13803
5.22008,13.32632,41.88269,25.23471
5.23008,13.59598,41.95526,25.32031
5.24008,13.86646,42.02649,25.39496
5.25008,14.13770,42.09625,25.45882
5.26008,14.40964,42.16449,25.51208
5.27008,14.68213,42.23109,25.55489
5.28008,14.95517,42.29601,25.58740
5.29008,15.22873,42.35913,25.60983
5.30008,15.50278,42.42041,25.62236
5.31008,15.77722,42.47975,25.62518
5.32008,16.05200,42.53708,25.61848
5.33008,16.32718,42.59233,25.60245
5.34008,16.60263,42.64537,25.57724
5.35008,16.87836,42.69615,25.54311
5.36008,17.15427,42.74454,25.50020
5.37008,17.43042,42.79041,25.44875
5.38008,17.70667,42.83362,25.38890
5.39008,17.98303,42.87405,25.32086
5.40008,18.25952,42.91161,25.24480
5.41008,18.53610,42.94611,25.16090
5.42008,18.81265,42.97748,25.06943
5.43008,19.08932,43.00557,24.97049
5.44008,19.36594,43.03024,24.86426
5.45008,19.64267,43.05139,24.75093
5.46008,19.91940,43.06888,24.63065
5.47008,20.19601,43.08264,24.50357
5.48008,20.47269,43.09259,24.36992
5.49008,20.74930,43.09854,24.22987
5.50008,21.02579,43.10071,24.08369
5.51008,21.30215,43.09915,23.93143
5.52008,21.57840,43.09393,23.77316
5.53008,21.85446,43.08511,23.60902
5.54008,22.13034,43.07275,23.43915
5.55008,22.40604,43.05688,23.26367
5.56008,22.68149,43.03757,23.08272
5.57008,22.95670,43.01486,22.89642
5.58008,23.23166,42.98880,22.70490
5.59008,23.50632,42.95943,22.50827
5.60008,23.78061,42.92679,22.30667
5.61008,24.05460,42.89095,22.10020
5.62008,24.32822,42.85179,21.88904
5.63008,24.60141,42.80954,21.67340
5.64009,24.87418,42.76421,21.45320
5.65009,25.14651,42.71585,21.22859
5.66009,25.41837,42.66460,20.99960
