t_sim,x,y,z
0.00000,0.00000,0.00000,0.00000
0.01000,0.00000,0.00000,0.00000
0.02000,0.00000,0.00000,0.00000
0.03000,0.00000,0.00000,0.00000
0.04000,0.00000,0.00000,0.00000
0.05000,0.00000,0.00000,0.00000
0.05999,0.00000,0.00000,0.00000
0.06999,0.00000,0.00000,0.00000
0.07999,0.00000,0.00000,0.00000
0.08999,0.00000,0.00000,0.00000
0.09999,0.00000,0.00000,0.00000
0.10999,0.00000,0.00000,0.00000
0.11998,0.00000,0.00000,0.00000
0.12998,0.00000,0.00000,0.00000
0.13998,0.00000,0.00000,0.00000
0.14998,0.00000,0.00000,0.00000
0.15998,0.00000,0.00000,0.00000
0.16998,0.00000,0.00000,0.00000
0.17997,0.00000,0.00000,0.00000
0.18997,0.00000,0.00000,0.00000
0.19997,0.00000,0.00000,0.00000
0.20997,0.00000,0.00000,0.00000
0.21997,0.00000,0.00000,0.00000
0.22997,0.00000,0.00000,0.00000
0.23996,0.00000,0.00000,0.00000
0.24996,0.00000,0.00000,0.00000
0.25996,0.00000,0.00014,0.00000
0.26996,0.00000,0.00044,0.00000
0.27996,0.00000,0.00088,0.00000
0.28996,0.00000,0.00146,0.00000
0.29995,0.00000,0.00219,0.00000
0.30995,0.00000,0.00306,0.00000
0.31995,0.00000,0.00407,0.00000
0.32995,0.00000,0.00523,0.00000
0.33995,0.00000,0.00652,0.00000
0.34995,0.00000,0.00796,0.00000
0.35994,0.00000,0.00954,0.00000
0.36994,0.00000,0.01126,0.00000
0.37994,0.00000,0.01311,0.00000
0.38994,0.00000,0.01511,0.00000
0.39994,0.00000,0.01724,0.00000
0.40994,0.00000,0.01951,0.00000
0.41993,0.00000,0.02191,0.00000
0.42993,0.00000,0.02445,0.00000
0.43993,0.00000,0.02712,0.00000
0.44993,0.00000,0.02992,0.00000
0.45993,0.00000,0.03285,0.00000
0.46993,0.00000,0.03592,0.00000
0.47992,0.00000,0.03910,0.00000
0.48992,0.00000,0.04242,0.00000
0.49992,0.00000,0.04587,0.00000
0.50992,0.00000,0.04944,0.00000
0.51992,0.00000,0.05313,0.00000
