t_sim,x,y,z
0.00000,0.00000,0.00000,0.00000
0.01000,0.00000,0.00000,0.00000
0.02000,0.00000,-0.00000,0.00000
0.03000,0.00000,0.00000,0.00000
0.04000,0.00000,0.00000,0.00000
0.05000,0.00000,0.00000,0.00000
0.06000,0.00000,0.00000,0.00000
0.07000,0.00000,0.00000,0.00000
0.08000,0.00000,0.00000,0.00000
0.09000,0.00000,0.00000,0.00000
0.10000,0.00000,0.00000,0.00000
0.11000,0.00000,0.00000,0.00000
0.12000,0.00000,0.00000,0.00000
0.13000,0.00000,0.00000,0.00000
0.14000,0.00000,0.00000,0.00000
0.15000,0.00000,0.00000,0.00000
0.16000,0.00000,0.00000,0.00000
0.17000,0.00000,0.00000,0.00000
0.18000,0.00000,0.00000,0.00000
0.19001,0.00000,0.00000,0.00000
0.20001,0.00000,0.00000,0.00000
0.21001,0.00000,0.00000,0.00000
0.22001,0.00000,0.00000,0.00000
0.23001,0.00000,0.00000,0.00000
0.24001,0.00000,0.00000,0.00000
0.25001,0.00000,0.00000,0.00000
0.26001,0.00000,0.00000,0.00000
0.27001,0.00000,0.00000,0.00000
0.28001,0.00000,0.00000,0.00000
0.29001,0.00000,0.00000,0.00000
0.30001,0.00000,-0.00000,0.00000
0.31001,0.00000,0.00000,0.00000
0.32001,0.00000,0.00000,0.00000
0.33001,0.00000,0.00000,0.00000
0.34001,0.00000,0.00000,0.00000
0.35001,0.00000,0.00000,0.00000
0.36001,0.00000,0.00000,0.00000
0.37001,0.00000,0.00000,0.00000
0.38001,0.00000,0.00000,0.00000
0.39001,0.00000,0.00000,0.00000
0.40001,0.00000,0.00000,0.00000
0.41001,0.00000,0.00000,0.00000
0.42001,0.00000,0.00000,0.00000
0.43001,0.00000,0.00000,0.00000
0.44001,0.00000,0.00000,0.00000
0.45001,0.00000,0.00000,0.00000
0.46001,0.00000,0.00000,0.00000
0.47001,0.00000,0.00000,0.00000
0.48001,0.00000,0.00000,0.00000
0.49001,0.00000,0.00000,0.00000
0.50001,0.00000,0.00000,0.00000
0.51001,0.00000,0.00000,0.00000
0.52001,0.00000,0.00000,0.00000
